name;sigla_sis;sigla_tic;id;id_padded
VILLA DEL PARQUE;FVDP;FVDP;1;001
SAN JUSTO;FSJU;FCSJ3;2;002
LAFERRERE 2;FLF2;FLF2;3;003
RAMOS;FMRAM;FMRAM;4;004
EZEIZA;FEZE;FEZEA;5;005
CANNING;FMCAN;FMCAN;6;006
MONTEGRANDE;FMGD;FMGRA;7;007
ZARATE;FZAR;FMZAR;8;008
GUALEGUAYCHU;FMGUA;FMGUA;9;009
CABILDO;FCAB;FCABI;10;010
CABILDO 2;FMCYM;FMCYM;11;011
GUEMES;FGUE;FGUE;12;012
URQUIZA;FURQ;FMURQ;13;013
PALMAS PILAR;FPPI;FPMPI;14;014
SAN ISIDRO;FSIS;FMSIS;15;015
LA RIOJA;FMRVP;FMRVP;16;016
CATAMARCA;FCAT;FMCAT;17;017
F. ALVAREZ;FFRA;FFRA;18;018
MORENO;FMORE;FMMRE;19;019
LUJAN;FLUJ;FLUJA;20;020
SAN MARTIN 2;FMSVP;FMSVP;21;021
SAN MARTIN AUTO;FSMA;F3DF;22;022
SAN JUAN;FSJN;FSJUA;23;023
SAN JUAN 2;FSJ2;FMSJ2;24;024
TUCUMAN 2;FTU2;FMTCM;25;025
TUCUMAN 3;FTU3;FMTM2;26;026
TUCUMAN 4;FTU4;FMTU4;27;027
TUCUMAN 5;FTC5;FTC5;28;028
TUCUMAN 6;FTC6;FMTU6;29;029
TUCUMAN 7;FMTU7;FMTU7;30;030
TUCUMAN 8;FTC8;FMTC8;31;031
PORTAL TUCUMAN;MPT;MPT;32;032
TUCUMAN 9;FMTU9;FMTU9;33;033
LA PLATA 2;FLP2;FLPCA;34;034
LA PLATA 3;FLP3;FLPC3;35;035
LA PLATA 4;FLP4;FLPC4;36;036
CITY BELL;FCYB;FMCB1;37;037
REPUBLICA;FRDN;FRPNI;38;038
S DEL ESTERO;FSDE;FSANT;39;039
MENDOZA CENTRO;FMMSM;FMMSM;40;040
MENDOZA COLON;FMMCO;FMMCO;41;041
SAN RAFAEL;FSRM;FSRM;42;042
GONNET;FGON;FGONN;43;043
BERAZATEGUI;FBER;FMBER;44;044
ROTONDA;FMRG;FROG;45;045
LOMAS AUTO;FLOZ;FMLOA;46;046
LOMAS;FMLCA;FMLCA;47;047
WILDE;FMWVP;FMWVP;48;048
BARILOCHE;FBA1;FMBRC;49;049
USHUAIA;FUSH;FUSHA;50;050
RIO GRANDE;FRGD;FRGRD;51;051
PORTAL SALTA;FPSA;FTART;52;052
SALTA LIBERTAD;FSLI;FSLIB;53;053
SALTA PEATONAL;FSVP;FSAL4;54;054
SALTA AUTO;FSAA;FMSAA;55;055
SALTA NOA;MSN;MSN;56;056
JUJUY;FJUJ;FJUJY;57;057
SALTA ORAN;FSAO;FSAO;58;058
PARQUE CHAC;FPCH;FMPCH;59;059
CONSTITUCION;FMCNT;FMCNT;60;060
SPINETTO;FSPI;FSPIN;61;061
LANUS 2;FLA2;FMLAC;62;062
CARRE QUILMES;FCQU;FMQCA;63;063
LA PAMPA;FLPA;FROSA;64;064
FORMOSA;FMFOR;FMFOR;65;065
FLORES;FFLO;FFLOR;66;066
PRIMERA JUNTA;FMPRI;FMPRI;67;067
LINIERS;FLIN;FLINR;68;068
ONCE;FMONC;FMONC;69;069
TERRADA;-;-;70;070
BOLIVAR;FBOL;FMBLV;71;071
JUNIN;FMJUN;FMJUN;72;072
RIO GALLEGOS;FRGA;-;73;073
POMPEYA;FMPYA;FMPYA;74;074
GALLEGOS;FMP1;FMDQG;75;075
ALDREY;FMP2;FMDQ2;76;076
LA PERLA;FMD3;FMP3;77;077
PEATONAL;FMDQ4;FMDQ4;78;078
OLAVARRIA;FOLAV;FOLAV;79;079
TANDIL;FCTA;FTAND;80;080
SAN FERNANDO;FSAF;FSAF;81;081
GRAND BOURG;FGBG;FGRBG;82;082
JOSE C PAZ;FJCP;FMJCP;83;083
SAN MIGUEL 3;FSM2;FMSM3;84;084
SAN MIGUEL A.;FMSMA;FMSMA;85;085
MERLO;FMER;FMERL;86;086
CORRIENTES;FCOR;FMCOR;87;087
RESISTENCIA;FMRES;FMRES;88;088
SAN LUIS;FSLS;FMSLI;89;089
BOEDO;FBOE;FMBOE;90;090
SAN TELMO;FSTM;FMSTO;91;091
AV DE MAYO;FAVM;FAMAY;92;092
AV DE MAYO 2;FAVM2;FAMA2;93;093
9 DE JULIO;F9DJ;FM9JU;94;094
CALLAO;FMCYC;FMCYC;95;095
RAFAELA;FRAF;FRAFA;96;096
RIBERA SANTA FE;FRSF;FSFER;97;097
WALMART STA FE;FWSF;FSFEW;98;098
SANTA FE P.;FMSFV;FMSFV;99;099
PORTAL ROSARIO;FPRO;FPROS;100;100
PELLEGRINI;FPEL;FMROS;101;101
ROSARIO SUR;FRSM;FRSM;102;102
OROÑO;FROA;FORO;103;103
SAN NICOLAS;FMSNI;FMSNI;104;104
PUMA;FMPUM;FMPUM;105;105
FUNES;FMPUM;FMFUN;106;106
ALTO ROSARIO;MAR;MAR;107;107
CITY CENTER;MCR;MCR;108;108
CASEROS;FMMCB;-;109;109
MORON;FMMVP;-;110;110
NEUQUEN CENTRO;FMNVP;-;111;111
ALTO COMAHUE;MNA;-;112;112
AV CORDOBA;-;-;113;113
